0,0,103
0.25,0,109
0.4,0,91
0.6,0,101
0.8,0,99
1,0,103
1.5,0,82
2,0,59
4,0,44
6.8,0,41
0,1,112
0.25,1,111
0.4,1,104
0.6,1,100
0.8,1,91
1,1,100
1.5,1,79
2,1,67
4,1,44
6.8,1,36
0,2,103
0.25,2,104
0.4,2,85
0.6,2,95
0.8,2,78
1,2,81
1.5,2,71
2,2,56
4,2,41
6.8,2,41
0,4,112
0.25,4,90
0.4,4,95
0.6,4,86
0.8,4,76
1,4,75
1.5,4,65
2,4,70
4,4,41
6.8,4,32
0,6,91
0.25,6,86
0.4,6,69
0.6,6,74
0.8,6,68
1,6,97
1.5,6,48
2,6,45
4,6,34
6.8,6,29
0,8,79
0.25,8,71
0.4,8,60
0.6,8,64
0.8,8,58
1,8,63
1.5,8,47
2,8,38
4,8,29
6.8,8,32
0,12,64
0.25,12,56
0.4,12,43
0.6,12,49
0.8,12,34
1,12,38
1.5,12,28
2,12,26
4,12,25
6.8,12,25
0,16,43
0.25,16,44
0.4,16,38
0.6,16,43
0.8,16,31
1,16,34
1.5,16,26
2,16,23
4,16,20
6.8,16,26
0,20,33
0.25,20,37
0.4,20,31
0.6,20,34
0.8,20,21
1,20,25
1.5,20,19
2,20,22
4,20,17
6.8,20,20
0,22,29
0.25,22,37
0.4,22,29
0.6,22,32
0.8,22,22
1,22,25
1.5,22,20
2,22,22
4,22,18
6.8,22,23
